id,title,original_language,release_date,vote_average,vote_count,popularity,genre_ids,Genres
1026227,There's Still Tomorrow,it,10/26/23,8.171,1165,32.364,"[18, 35, 10752]","['Drama', 'Comedy', 'War']"
810693,Jujutsu Kaisen 0,ja,12/24/21,8.173,1368,90.077,"[16, 28, 14]","['Animation', 'Action', 'Fantasy']"
81481,Silenced,ko,9/22/11,8.172,617,26.413,[18],['Drama']
426,Vertigo,en,5/28/58,8.2,5653,29.322,"[9648, 10749, 53]","['Mystery', 'Romance', 'Thriller']"
1422,The Departed,en,10/4/06,8.166,14708,49.539,"[18, 53, 80]","['Drama', 'Thriller', 'Crime']"
111,Scarface,en,12/9/83,8.166,11663,70.699,"[28, 80, 18]","['Action', 'Crime', 'Drama']"
693134,Dune: Part Two,en,2/27/24,8.165,5275,210.304,"[878, 12]","['Science Fiction', 'Adventure']"
872,Singin' in the Rain,en,4/9/52,8.2,3084,29.237,"[35, 10749]","['Comedy', 'Romance']"
289,Casablanca,en,1/15/43,8.162,5346,27.473,"[18, 10749]","['Drama', 'Romance']"
20941,Innocent Voices,es,1/28/05,8.159,472,46.586,"[18, 10752]","['Drama', 'War']"
489,Good Will Hunting,en,12/5/97,8.158,12188,72.632,[18],['Drama']
422,8½,it,2/14/63,8.157,2236,13.655,[18],['Drama']
851644,20th Century Girl,ko,10/6/22,8.156,675,111.266,"[10749, 18]","['Romance', 'Drama']"
1398,Stalker,ru,5/25/79,8.2,2115,28.813,"[878, 18]","['Science Fiction', 'Drama']"
348,Alien,en,5/25/79,8.2,14530,199.625,"[27, 878]","['Horror', 'Science Fiction']"
606856,Togo,en,12/20/19,8.155,1980,27.395,"[12, 10751]","['Adventure', 'Family']"
475557,Joker,en,10/1/19,8.155,25192,184.341,"[80, 53, 18]","['Crime', 'Thriller', 'Drama']"
517814,Capernaum,ar,9/20/18,8.2,1664,12.536,[18],['Drama']
399106,Piper,en,6/16/16,8.15,1602,14.191,"[10751, 16]","['Family', 'Animation']"
133919,Scenes from a Marriage,sv,9/15/74,8.148,338,9.151,"[18, 10749]","['Drama', 'Romance']"
791373,Zack Snyder's Justice League,en,3/18/21,8.146,9883,104.493,"[28, 12, 14]","['Action', 'Adventure', 'Fantasy']"
575813,Better Days,zh,10/25/19,8.145,427,26.721,"[18, 10749, 53, 80]","['Drama', 'Romance', 'Thriller', 'Crime']"
103,Taxi Driver,en,2/9/76,8.144,12085,46.445,"[80, 18]","['Crime', 'Drama']"
37165,The Truman Show,en,6/4/98,8.143,18114,75.297,"[35, 18]","['Comedy', 'Drama']"
614,Wild Strawberries,sv,8/28/57,8.135,1594,12.041,[18],['Drama']
406997,Wonder,en,11/13/17,8.133,7789,31.207,"[18, 10751]","['Drama', 'Family']"
398818,Call Me by Your Name,en,7/28/17,8.132,11976,38.996,"[10749, 18]","['Romance', 'Drama']"
600,Full Metal Jacket,en,6/26/87,8.132,10343,59.134,"[18, 10752]","['Drama', 'War']"
458220,Palmer,en,1/28/21,8.131,1570,28.605,[18],['Drama']
470044,The Hate U Give,en,10/19/18,8.13,2093,80.577,"[80, 18]","['Crime', 'Drama']"
20914,My Friends,it,10/24/75,8.13,689,9.028,[35],['Comedy']
55823,The Great War,it,10/28/59,8.129,338,9.403,"[35, 10752, 18]","['Comedy', 'War', 'Drama']"
508442,Soul,en,12/25/20,8.126,10313,60.642,"[16, 10751, 35, 14]","['Animation', 'Family', 'Comedy', 'Fantasy']"
19,Metropolis,de,2/6/27,8.126,2702,31.924,"[18, 878]","['Drama', 'Science Fiction']"
500,Reservoir Dogs,en,9/2/92,8.124,14141,31.356,"[80, 53]","['Crime', 'Thriller']"
600354,The Father,en,12/23/20,8.123,3127,20.131,[18],['Drama']
518068,Along with the Gods: The Last 49 Days,ko,8/1/18,8.123,651,32.593,"[28, 12, 14, 53]","['Action', 'Adventure', 'Fantasy', 'Thriller']"
9702,Bound by Honor,en,2/5/93,8.122,1295,47.43,"[80, 28, 18, 53]","['Crime', 'Action', 'Drama', 'Thriller']"
100,"Lock, Stock and Two Smoking Barrels",en,8/28/98,8.122,6491,11.65,"[35, 80]","['Comedy', 'Crime']"
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,en,1/29/64,8.1,5536,22.072,"[35, 10752]","['Comedy', 'War']"
280,Terminator 2: Judgment Day,en,7/3/91,8.12,12699,73.112,"[28, 53, 878]","['Action', 'Thriller', 'Science Fiction']"
531428,Portrait of a Lady on Fire,fr,9/18/19,8.119,2491,28.998,"[18, 10749, 36]","['Drama', 'Romance', 'History']"
762975,Purple Hearts,en,7/29/22,8.118,2483,41.918,"[10749, 18]","['Romance', 'Drama']"
843,In the Mood for Love,cn,9/29/00,8.118,2664,25.776,"[18, 10749]","['Drama', 'Romance']"
996,Double Indemnity,en,7/6/44,8.116,1763,7.959,"[80, 53]","['Crime', 'Thriller']"
38288,I corti,it,3/29/96,8.115,344,5.268,[35],['Comedy']
411088,The Invisible Guest,es,1/6/17,8.114,4475,35.18,"[18, 9648, 53]","['Drama', 'Mystery', 'Thriller']"
663558,New Gods: Nezha Reborn,zh,2/6/21,8.111,409,22.41,"[16, 28, 14]","['Animation', 'Action', 'Fantasy']"
666,Central Station,pt,11/20/98,8.1,874,12.632,[18],['Drama']
838240,Robot Dreams,es,12/6/23,8.103,477,102.364,"[16, 18, 35, 878]","['Animation', 'Drama', 'Comedy', 'Science Fiction']"
46738,Incendies,fr,9/17/10,8.105,2663,22.882,"[18, 10752, 9648]","['Drama', 'War', 'Mystery']"
655,"Paris, Texas",en,7/16/84,8.104,1785,19.583,[18],['Drama']
664767,Mortal Kombat Legends: Scorpion's Revenge,en,4/12/20,8.103,1360,50.136,"[16, 28, 14]","['Animation', 'Action', 'Fantasy']"
38,Eternal Sunshine of the Spotless Mind,en,3/19/04,8.103,14724,57.365,"[878, 18, 10749]","['Science Fiction', 'Drama', 'Romance']"
103663,The Hunt,da,6/13/12,8.101,4104,22.341,[18],['Drama']
20532,Sansho the Bailiff,ja,3/31/54,8.101,362,10.703,[18],['Drama']
24382,Big Deal on Madonna Street,it,7/26/58,8.1,685,12.877,"[35, 80]","['Comedy', 'Crime']"
11878,Yojimbo,ja,4/25/61,8.1,1406,12.432,"[18, 53]","['Drama', 'Thriller']"
239,Some Like It Hot,en,3/19/59,8.1,3411,27.202,"[35, 10749, 80]","['Comedy', 'Romance', 'Crime']"
146233,Prisoners,en,9/19/13,8.099,11605,72.456,"[18, 53, 80]","['Drama', 'Thriller', 'Crime']"
705,All About Eve,en,11/9/50,8.099,1505,14.359,[18],['Drama']
12445,Harry Potter and the Deathly Hallows: Part 2,en,7/12/11,8.1,20330,135.851,"[14, 12]","['Fantasy', 'Adventure']"
406,La Haine,fr,5/31/95,8.096,3976,21.732,[18],['Drama']
555604,Guillermo del Toro's Pinocchio,en,11/9/22,8.095,2853,36.367,"[16, 14, 18]","['Animation', 'Fantasy', 'Drama']"
